Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Hour,Day_of_week,Month,Quarter
226-31-3081,C,Naypyitaw,Normal,Female,Electronic Accessories,15.28,5,3.8200000000000003,80.22,2019-03-08,10:29:00,Cash,76.4,4.761904762,3.8200000000000003,9.6,10,Friday,March,1
699-14-3026,C,Naypyitaw,Normal,Male,Electronic Accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,18,Monday,March,1
315-22-5665,C,Naypyitaw,Normal,Female,Home And Lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.761904762,36.78,8.0,11,Sunday,February,1
300-71-4605,C,Naypyitaw,Member,Male,Electronic Accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,430.2,4.761904762,21.51,4.8,11,Monday,February,1
183-56-6882,C,Naypyitaw,Member,Female,Food And Beverages,99.42,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5,10,Wednesday,February,1
232-16-2483,C,Naypyitaw,Member,Female,Sports And Travel,68.12,1,3.406,71.526,2019-01-07,12:28:00,Ewallet,68.12,4.761904762,3.406,6.8,12,Monday,January,1
333-73-7901,C,Naypyitaw,Normal,Female,Health And Beauty,54.92,8,21.968,461.328,2019-03-23,13:24:00,Ewallet,439.36,4.761904762,21.968,7.6,13,Saturday,March,1
554-53-8700,C,Naypyitaw,Member,Male,Home And Lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00,Cash,112.22,4.761904762,5.611,6.3,10,Saturday,February,1
228-96-1411,C,Naypyitaw,Member,Female,Food And Beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.6,4.761904762,39.48,7.6,20,Monday,March,1
617-15-4209,C,Naypyitaw,Member,Male,Health And Beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,30.74,4.761904762,1.537,7.2,19,Saturday,March,1
574-22-5561,C,Naypyitaw,Member,Female,Fashion Accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9,17,Tuesday,March,1
326-78-5178,C,Naypyitaw,Member,Male,Food And Beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.8,4.761904762,31.99,9.5,10,Sunday,February,1
778-71-5554,C,Naypyitaw,Member,Male,Fashion Accessories,15.43,1,0.7715000000000001,16.2015,2019-01-25,15:46:00,Credit card,15.43,4.761904762,0.7715000000000001,6.1,15,Friday,January,1
399-46-5918,C,Naypyitaw,Normal,Female,Electronic Accessories,85.98,8,34.392,722.232,2019-02-28,19:01:00,Cash,687.84,4.761904762,34.392,8.2,19,Thursday,February,1
120-06-4233,C,Naypyitaw,Normal,Male,Electronic Accessories,30.61,6,9.183,192.843,2019-03-12,20:36:00,Cash,183.66,4.761904762,9.183,9.3,20,Tuesday,March,1
285-68-5083,C,Naypyitaw,Member,Female,Sports And Travel,24.74,3,3.711,77.931,2019-02-15,17:47:00,Credit card,74.22,4.761904762,3.711,10.0,17,Friday,February,1
803-83-5989,C,Naypyitaw,Normal,Male,Home And Lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,334.38,4.761904762,16.719,7.0,10,Sunday,February,1
838-78-4295,C,Naypyitaw,Normal,Female,Health And Beauty,33.47,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,66.94,4.761904762,3.347,6.7,15,Sunday,February,1
393-65-2792,C,Naypyitaw,Normal,Male,Food And Beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.8,4.761904762,44.74,9.6,12,Sunday,January,1
796-12-2025,C,Naypyitaw,Normal,Male,Fashion Accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.2,4.761904762,31.06,5.9,16,Monday,February,1
841-35-6630,C,Naypyitaw,Normal,Female,Electronic Accessories,75.91,6,22.773,478.233,2019-03-09,18:21:00,Cash,455.46,4.761904762,22.773,8.7,18,Saturday,March,1
732-94-0499,C,Naypyitaw,Normal,Female,Electronic Accessories,41.65,10,20.825,437.325,2019-01-13,17:04:00,Credit card,416.5,4.761904762,20.825,5.4,17,Sunday,January,1
263-10-3913,C,Naypyitaw,Member,Male,Fashion Accessories,49.04,9,22.068,463.428,2019-01-09,14:20:00,Credit card,441.36,4.761904762,22.068,8.6,14,Wednesday,January,1
829-49-1914,C,Naypyitaw,Member,Female,Food And Beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6,16,Tuesday,March,1
756-01-7507,C,Naypyitaw,Normal,Female,Health And Beauty,20.38,5,5.095,106.995,2019-01-22,18:56:00,Cash,101.9,4.761904762,5.095,6.0,18,Tuesday,January,1
870-72-4431,C,Naypyitaw,Normal,Female,Health And Beauty,99.19,6,29.757,624.897,2019-01-21,14:42:00,Credit card,595.14,4.761904762,29.757,5.5,14,Monday,January,1
480-63-2856,C,Naypyitaw,Normal,Male,Food And Beverages,19.25,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,154.0,4.761904762,7.7,6.6,18,Wednesday,January,1
787-56-0757,C,Naypyitaw,Member,Female,Food And Beverages,80.36,4,16.072,337.512,2019-02-23,18:45:00,Credit card,321.44,4.761904762,16.072,8.3,18,Saturday,February,1
360-39-5055,C,Naypyitaw,Member,Male,Sports And Travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,244.55,4.761904762,12.2275,6.6,10,Saturday,March,1
730-50-9884,C,Naypyitaw,Normal,Female,Sports And Travel,83.06,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,581.42,4.761904762,29.071,4.0,14,Tuesday,March,1
362-58-8315,C,Naypyitaw,Normal,Male,Fashion Accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,382.6,4.761904762,19.13,9.9,10,Monday,March,1
565-80-5980,C,Naypyitaw,Member,Female,Home And Lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00,Cash,189.52,4.761904762,9.476,7.1,10,Wednesday,January,1
225-32-0908,C,Naypyitaw,Normal,Female,Sports And Travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.6,4.761904762,22.43,8.2,19,Saturday,January,1
